session,n_status,n_matches,align_reliable,median_abs_residual_ms,max_abs_residual_ms
logs/balance/session_20260209_095631,69,69,1,0.6196854021691252,2.0230674566555535
logs/balance/session_20260209_095908,104,104,1,72.20776356195711,292.89945970853114
logs/balance/session_20260209_121635,56,56,1,0.6933098051194975,1.872138042243023
logs/balance/session_20260209_114605,49,49,1,0.659476201137295,2.276160537832766
logs/balance/session_20260209_114857,31,31,1,10.640499521909078,55.10603079347129
logs/balance/session_20260209_114953,27,27,0,89.49707343924092,292.2808335419686
logs/balance/session_20260209_121803,31,31,1,0.7817071584286168,1.568782835289312
